user,own_character,opponent_character,rating,result,minor_rule,lag,bad_manner,one_pattern,smart_player,date,time_zone
うるちむ,プリン,ミェンミェン ,11212863,勝ち,不明,有,無,無,普通・荒い,2025/01/31,23:00~23:59
うるちむ,プリン,スネーク,10795869,負け,不明,無,無,有,普通・荒い,2025/01/31,23:00~23:59
うるちむ,プリン,キングクルール,11212863,勝ち,不明,無,無,無,普通・荒い,2025/01/31,23:00~23:59
うるちむ,プリン,リトル・マック,11570986,勝ち,相手,有,無,無,普通・荒い,2025/01/31,23:00~23:59
うるちむ,プリン,パックンフラワー ,11253492,負け,不明,無,無,有,普通・荒い,2025/01/31,23:00~23:59
うるちむ,プリン,クラウド,11648186,勝ち,不明,無,無,無,普通・荒い,2025/01/31,0:00~0:59
うるちむ,プリン,リュウ,11984241,勝ち,不明,有,無,有,普通・荒い,2025/01/31,0:00~0:59
うるちむ,プリン,ベレト / ベレス ,12319967,勝ち,不明,無,無,無,丁寧,2025/02/03,21:00~21:59
うるちむ,プリン,ミュウツー,11956699,負け,不明,無,無,無,普通・荒い,2025/02/03,21:00~21:59
うるちむ,プリン,ルカリオ,11579509,負け,不明,無,無,無,普通・荒い,2025/02/03,21:00~21:59
うるちむ,プリン,ピカチュウ,11183580,負け,不明,有,無,無,普通・荒い,2025/02/03,21:00~21:59
うるちむ,プリン,ガオガエン,10806944,負け,不明,無,無,有,普通・荒い,2025/02/05,21:00~21:59
うるちむ,プリン,クッパ,10371823,負け,相手,無,無,有,普通・荒い,2025/02/05,21:00~21:59
うるちむ,プリン,ホムラ / ヒカリ ,10806944,勝ち,不明,無,無,無,丁寧,2025/02/05,21:00~21:59
うるちむ,プリン,ロゼッタ＆チコ,10371823,負け,不明,無,無,無,普通・荒い,2025/02/05,21:00~21:59
うるちむ,プリン,クッパ,10806944,勝ち,相手,無,無,有,普通・荒い,2025/02/05,21:00~21:59
うるちむ,プリン,ガノンドロフ,10371823,負け,不明,無,無,無,普通・荒い,2025/02/05,21:00~21:59
うるちむ,プリン,ウルフ,10806944,勝ち,不明,無,無,無,普通・荒い,2025/02/05,21:00~21:59
うるちむ,プリン,テリー ,11224463,勝ち,不明,無,無,無,普通・荒い,2025/02/05,21:00~21:59
うるちむ,プリン,クッパ,11621796,勝ち,相手,無,無,無,普通・荒い,2025/02/05,21:00~21:59
うるちむ,プリン,ファルコ,11979533,勝ち,不明,無,無,無,普通・荒い,2025/02/15,22:00~22:59
うるちむ,プリン,カズヤ ,12333711,勝ち,不明,無,無,無,普通・荒い,2025/02/15,22:00~22:59
うるちむ,プリン,ファルコ,12016050,負け,相手,無,無,無,普通・荒い,2025/02/15,22:00~22:59
うるちむ,プリン,ケン,11640313,負け,不明,無,無,有,普通・荒い,2025/02/15,22:00~22:59
うるちむ,プリン,マルス,12016050,勝ち,不明,無,無,有,普通・荒い,2025/02/15,22:00~22:59
うるちむ,プリン,サムス,11640313,負け,相手,無,無,無,普通・荒い,2025/02/15,22:00~22:59
うるちむ,プリン,ドンキーコング,11979533,勝ち,不明,無,無,無,普通・荒い,2025/02/15,22:00~22:59
うるちむ,プリン,ガノンドロフ,12333711,勝ち,不明,無,無,無,普通・荒い,2025/02/15,22:00~22:59
うるちむ,プリン,ピチュー,11979533,負け,不明,無,無,無,普通・荒い,2025/02/15,22:00~22:59
うるちむ,プリン,テリー ,12333711,勝ち,不明,無,無,無,普通・荒い,2025/02/15,22:00~22:59
うるちむ,プリン,クラウド,12694283,勝ち,不明,有,無,無,普通・荒い,2025/02/15,22:00~22:59
うるちむ,プリン,Mr.ゲーム＆ウォッチ,12367764,負け,不明,無,無,有,普通・荒い,2025/02/15,22:00~22:59
うるちむ,プリン,ルキナ,12662788,勝ち,相手,無,無,無,丁寧,2025/02/15,22:00~22:59
うるちむ,プリン,Mii 射撃タイプ,12966030,勝ち,不明,無,無,無,普通・荒い,2025/02/15,22:00~22:59
うるちむ,プリン,カービィ,13243166,勝ち,相手,有,無,有,普通・荒い,2025/02/15,22:00~22:59
